pid,side,MLE,MdLE,SDLE,MaxLE,MinLE,P90,P95,P99,RMSE,NME,SR@2mm,SR@3mm,SR@5mm,SR@10mm,MAE_x,MAE_y,MAE_z,Bias_x,Bias_y,Bias_z,Procrustes_RMSE,Procrustes_Mean,Procrustes_Median,Alignment_Gain,Centroid_Error,Scale_Ratio,Scale_Error_Pct,HRTF_Weighted_MLE,HRTF_Critical_MLE,HRTF_Critical_Max,Concha_MLE,Canal_Axis_MLE,HRTF_SR@2mm,HRTF_SR@3mm
P0115,left,3.2190014005435112,3.096358505042088,1.255460400487261,6.541035335872149,1.0450532041032994,4.742585568981235,5.626546285838192,6.037431181157313,3.4551629243630058,0.04181822620344528,0.2235294117647059,0.4823529411764706,0.9058823529411765,1.0,1.6792513007188374,1.8763762137002402,1.3835836406583768,-1.2486614739766364,1.3428226887189159,0.20023802708224794,2.6592688544549503,2.4068913754331893,2.313189947994398,0.23034921577012224,1.8445659428227617,0.9461713621137623,5.382863788623771,3.25738640431655,3.141660790525609,4.6367701287911105,2.7234470502475934,4.045557090120273,0.16129032258064516,0.4838709677419355
P0115,right,4.124109521233989,4.230422858962627,1.6810223305857026,6.7744994745628375,0.8098177668183728,6.276117138290593,6.390668857329599,6.548718985803481,4.453550877565073,0.05436684002897821,0.12941176470588237,0.29411764705882354,0.6,1.0,1.542761760853662,3.3900894247853985,0.8704360687332388,-0.9520707777967768,3.379639579882131,0.09260639695130701,2.1006801889928526,1.8337244871523588,1.6088266594413285,0.5283134185065814,3.512403507656358,0.957794913663157,4.220508633684295,3.877757725512537,3.695741312837852,6.505713178420747,4.764066041065608,2.608830327316892,0.1935483870967742,0.45161290322580644
P0122,left,3.830833297849744,4.082775662352329,1.0207365875662822,6.161633679088311,0.6415482785845297,4.840050140308924,5.059016341741069,5.848082475313243,3.9644907538183003,0.05744819822612583,0.08235294117647059,0.1411764705882353,0.9176470588235294,1.0,2.3449505892054856,1.9550205577342308,1.367935185719215,-0.45570376274778457,-1.5048016125177521,-0.7786749507327525,1.928623959931032,1.7918095680500388,1.7616351075941512,0.5135254236562721,1.7545450952646306,1.074248020017414,7.424802001741404,3.8205993388546666,3.7646244227789873,5.076956560565909,3.5309585086326347,4.332134959991755,0.0967741935483871,0.16129032258064516
P0122,right,3.486317500661423,3.730691621308883,1.3592145033756797,5.843990289181227,0.8811699050015869,5.212352135561519,5.272577521148334,5.531447855133727,3.7419077729956016,0.052500608131851055,0.21176470588235294,0.3176470588235294,0.8705882352941177,1.0,2.003740416209334,1.6613543253103764,1.5339159794337327,0.2211655619200325,-1.6166741366420958,-0.232535343577451,2.1185161010649285,2.031061206630055,2.055791310799013,0.43384064238645714,1.648217872697532,1.0765435893082087,7.65435893082087,3.266857200007621,2.976280503915829,4.853314524178948,1.442220354152787,3.3071854268100203,0.25806451612903225,0.41935483870967744
P0130,left,5.808622890382555,5.844243451720186,2.501794263368702,12.821981570090614,1.0863130124840985,8.405347483433514,9.155234510280208,12.794849360126621,6.324482146302631,0.06264830017756563,0.047058823529411764,0.16470588235294117,0.4235294117647059,0.9647058823529412,2.3382388278311903,1.7338256711132207,4.474135428919548,1.9624129855152326,0.03323144641946385,-2.6503638893327426,2.5560005477200516,2.3002390266753308,2.125932824293218,0.5958561525588453,3.297968738576659,0.8035678796442443,19.643212035575573,5.113447719875815,4.364866317724622,9.163293622323245,4.415087084376623,2.536873544863841,0.12903225806451613,0.3225806451612903
P0130,right,7.807442817794915,7.523539474265283,1.9554902749832501,12.40545446390436,2.3124707729408955,9.936677689693063,10.327914648430692,11.703409897640153,8.048608921341097,0.0854246819293972,0.0,0.011764705882352941,0.10588235294117647,0.9058823529411765,2.67411026878701,4.74634831533701,4.565143758532068,2.50660776894441,4.74634831533701,-2.839676140152227,2.1391052631673593,1.943902241891671,1.7480151858257624,0.7342267112185202,6.072451351701775,0.8064517121274641,19.354828787253588,7.181209467048709,6.500258866970264,9.810184706969618,7.0160654555677775,3.7938695193299674,0.0,0.03225806451612903
P0134,left,3.8201940361519116,4.1708674432379995,1.247636859141141,6.182342728241925,1.1324304820260498,5.256993379763665,5.675377126218007,6.136372004187826,4.018766005397453,0.054456497089721445,0.08235294117647059,0.29411764705882354,0.8352941176470589,1.0,2.9469535751766247,1.2098352004088735,1.5498701880245593,-2.407776821989418,-0.7643313017803299,-0.40964788416769393,1.8495857554159243,1.696799063892623,1.65402008349744,0.5397627647676447,2.5591801328538284,1.0622493089571097,6.224930895710967,3.6318316950819076,3.5987903490487096,6.182342728241925,4.197121124294881,1.8667352657115415,0.12903225806451613,0.45161290322580644
P0134,right,4.004810663359109,3.9430800261120784,1.510342987834542,7.700373748331277,1.4168145632265687,6.262157384576002,6.5176372097609026,7.321904300970156,4.280145370224683,0.05688145530407697,0.09411764705882353,0.29411764705882354,0.7764705882352941,1.0,2.217181002760746,2.5174964683868084,1.2155828761651641,-1.0359842243229818,-2.5025431643334124,0.7397696560775715,2.4927213171119025,2.268317952004975,2.2155423429223498,0.41760825826277725,2.807711656572177,1.0405065238953732,4.050652389537324,4.082315971952319,4.199443805551162,7.700373748331277,2.7256915791076914,4.0078168954912545,0.0,0.1935483870967742
P0135,left,4.046721766048518,3.6547092798049765,1.6370351168672082,8.338108272706961,1.4115520102596866,6.295893501350629,6.58091230447432,7.3806351622633874,4.365299649012341,0.05041389577631643,0.07058823529411765,0.38823529411764707,0.6705882352941176,1.0,2.955893889867869,1.0834666292129176,1.5943678311750897,2.7272547349377874,0.3728891539394221,1.1772528449818704,1.7715346611761138,1.5655282208273142,1.3019549703648317,0.5941779938208033,2.9938084393267554,0.8974994691974721,10.250053080252785,3.7035133512046183,3.2978562927018364,6.557474011284061,2.7718143586616257,2.7588391471234486,0.0967741935483871,0.6129032258064516
P0135,right,3.517005508428718,3.12897065467179,1.2857415811478758,5.849670861709733,1.2579889348682507,5.211339351170229,5.5513147440489945,5.8328759868545434,3.7446574155469263,0.045097673687935304,0.12941176470588237,0.43529411764705883,0.8117647058823529,1.0,2.400231835126639,1.5427506107559095,1.2243456584405328,2.0887682357712545,-0.15873431092328222,0.7213356019110593,1.751242385105289,1.4804978183997024,1.2839603749580824,0.5323357544570617,2.2155077013668114,0.9243852354052436,7.561476459475635,3.237186307308578,2.955957544856955,5.849670861709733,1.9990719905971128,2.6789802626505717,0.2903225806451613,0.6451612903225806
P0139,left,4.82788014864344,4.588511352120932,1.8832351592048884,8.100321102450616,0.9278626258177792,7.268453212334407,7.629339629012674,7.881636444356818,5.182181142581843,0.05967743075194118,0.058823529411764705,0.23529411764705882,0.5529411764705883,1.0,3.2756092749162624,1.700970207561246,2.120461958412612,1.4236845043004682,-1.576009242192939,1.1551765869204693,1.648607739312807,1.4347936108430959,1.2361627657377103,0.681869912702505,2.4176673977683656,0.9022570663561575,9.774293364384246,4.178773265754402,3.379064741557659,7.507931855461181,2.7046916228670983,1.7659599538333521,0.16129032258064516,0.6129032258064516
P0139,right,3.040850255082383,2.461256512259235,1.9955377929821412,8.811845571792967,0.3379913874503091,6.350126532654807,7.513539780114319,8.359927668485476,3.6371611673191815,0.03748051674454268,0.3058823529411765,0.6941176470588235,0.8352941176470589,1.0,1.93571873515779,1.181614522151833,1.330796211062851,-0.735982568215588,0.6983443553606756,0.5698562940334223,1.72441355042221,1.556695921781183,1.532222826811698,0.525890255876178,1.163654319474096,0.9161577510955736,8.384224890442638,2.671202348866247,2.101092366504751,6.455015537643936,0.7821376589735943,1.0913428838677175,0.5806451612903226,0.7741935483870968
P0142,left,4.137344241241385,4.110578275820326,1.4142295783808707,6.697252553926551,1.150645047920034,6.078726804781144,6.260296525944208,6.508489104950114,4.372374946284982,0.058808427325703606,0.09411764705882353,0.2,0.6941176470588235,1.0,1.150833264187457,3.7752041185285266,0.8496929626753098,-0.9384671966662342,-3.7752041185285266,-0.08810454499865711,1.159978035319705,1.0758701397071255,1.0638783004926768,0.734702981893454,3.891098717152127,1.025909775069253,2.590977506925296,3.8645669895017036,3.6818103639273527,6.697252553926551,3.9915070329870326,2.942252240056778,0.16129032258064516,0.25806451612903225
P0142,right,2.130204789595985,2.13825477637079,0.487172227527692,3.4198807127056283,1.022196736627877,2.743989497548841,2.98778480711274,3.2799506192135772,2.1852023304243406,0.029110312931073242,0.43529411764705883,0.9529411764705882,1.0,1.0,1.2776096140884539,1.1576382224801784,0.762692624694167,-0.8689906676740109,0.7899406918287567,0.004767995729506194,1.6737110135812487,1.534401891250444,1.5818708294585968,0.23407046102699303,1.1743823103634952,1.004064869907365,0.40648699073650985,2.1388350132495804,2.130738269869194,2.9952168006824444,2.23014229206269,2.279848990833473,0.3870967741935484,1.0
